Provinsi,Status Gizi (%),,
,Stunting,Wasting,Underweight
 Aceh,"22,2",8,"19,6"
Sumatera Utara,"20,8","6,9","14,1"
Sumatera Barat,20,"6,1","15,8"
Riau,"18,9","8,7",14
Jambi,"13,5","6,3",11
Sumatera Selatan,"13,3","5,8","11,2"
Bengkulu,"14,5","5,6","11,7"
Lampung,15,"5,9","12,2"
Bangka Belitung,"14,6","6,5","13,5"
Kepulauan Riau,"10,5","5,4","10,1"
DKI Jakarta,"15,2","5,8",11
Jawa Barat,"13,5","3,9","10,1"
Jawa Tengah,"14,3","5,4","13,3"
DI Yogyakarta,"14,7","5,9","10,4"
Jawa Timur,"14,5","5,4","13,4"
Banten,"15,5","6,5","13,3"
Bali,"9,3","3,1","5,3"
Nusa Tenggara Barat,"23,1","9,4","22,4"
Nusa Tenggara Timur,"27,2","12,3","25,4"
Kalimantan Barat,"20,6","8,4","16,5"
Kalimantan Tengah,"17,8","6,6","15,3"
Kalimantan Selatan,"15,6","9,1","13,4"
Kalimantan Timur,17,8,"14,1"
Kalimantan Utara,"10,4","5,2","10,2"
Sulawesi Utara,"15,6","6,6","10,4"
Sulawesi Tengah,"20,1","8,7","19,1"
Sulawesi Selatan,"13,6",7,13
Sulawesi Tenggara,"17,3","8,9",17
Gorontalo,"18,9","9,2","20,1"
Sulawesi Barat,"24,8","7,8","19,3"
Maluku,"19,4","11,6","15,1"
Maluku Utara,"17,6","11,4",17
Papua Barat,"21,6","9,2","18,4"
Papua Barat Daya,"21,5","9,4","13,7"
Papua,"23,3","7,9","16,4"
Papua Selatan,"15,6","7,1","13,5"