"Rata‑Rata Konsumsi Kalori dan Protein per Kapita per Hari Menurut Provinsi, 2007-2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provinsi,Kalori (kkal),,,,,,,,,,,,,,,,,,Protein (gram),,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aceh,2 210.02,2 080.83,2 010.37,2 075.79,1 962.62,1 869.93,1 823.36,1 794.04,1 989.61,2 021.08,2 115.09,2 101.57,2 059.02,2 091.25,2 171.13,2 064.30,2 052.85,1 989.55,61.19,57.49,54.57,57.45,55.58,53.39,51.41,51.76,54.08,55.12,59.63,58.99,58.88,60.87,63.02,61.17,61.05,60.64
Sumatera Utara,2 069.52,2 074.76,1 921.70,1 970.81,1 993.59,1 892.36,1 848.80,1 883.81,2 010.98,1 999.99,2 133.84,2 184.97,2 177.35,2 121.57,2 149.23,2 123.41,2 093.67,2 041.63,58.52,60.13,55.04,57.13,57.58,54.15,53.43,54.98,54.66,54.93,61.03,63.38,63.49,62.57,63.26,64.65,62.91,62.11
Sumatera Barat,2 131.21,2 160.13,2 082.73,2 056.46,2 082.06,2 023.38,1 893.56,1 901.48,2 091.49,2 162.82,2 163.52,2 156.70,2 131.23,2 109.93,2 135.30,2 109.43,2 086.06,2 032.94,56.07,56.98,55.28,56.87,56.89,54.66,50.54,51.44,53.68,56.71,58.40,59.01,58.66,57.92,58.39,59.24,58.68,57.79
Riau,2 128.83,2 144.41,1 932.54,1 903.59,2 020.46,1 862.37,1 871.37,1 868.26,2 061.26,2 033.47,2 112.58,2 079.67,2 068.89,2 076.15,2 079.53,2 022.05,2 048.04,2 017.10,60.85,57.95,54.73,55.03,57.71,52.77,53.06,53.43,54.71,54.84,59.44,58.47,58.24,59.41,58.04,59.69,59.97,59.16
Jambi,2 074.99,2 057.70,1 904.06,1 927.61,1 960.08,1 894.87,1 775.98,1 764.53,1 986.49,1 988.23,2 108.89,2 106.10,2 057.48,2 080.60,2 140.54,2 069.51,2 042.69,2 011.88,57.13,56.22,51.54,52.62,54.56,52.06,49.32,48.14,51.31,51.89,57.18,57.73,57.83,57.91,60.01,60.70,59.52,58.73
Sumatera Selatan,2 058.19,2 106.36,1 991.76,1 989.11,1 999.53,1 925.99,1 848.17,1 887.11,2 062.86,2 029.93,2 250.05,2 134.53,2 121.99,2 127.77,2 232.11,2 182.47,2 191.06,2 196.16,58.21,56.86,53.62,54.67,55.86,52.84,51.81,53.43,55.35,54.67,63.12,59.34,59.90,59.85,63.62,65.18,65.10,66.43
Bengkulu,2 108.93,2 074.01,1 982.19,2 007.41,1 988.76,1 892.07,1 883.73,1 876.48,2 072.90,2 099.87,2 106.82,2 162.35,2 086.11,2 107.27,2 124.59,2 037.55,2 059.98,2 032.04,56.56,55.18,52.84,54.40,55.93,52.90,51.75,52.30,54.32,54.84,57.51,59.37,58.28,59.30,58.90,60.29,60.32,60.58
Lampung,2 120.94,2 169.98,1 945.76,1 953.67,1 967.20,1 880.60,1 825.27,1 750.15,1 933.47,1 952.08,2 150.83,2 082.31,2 050.79,2 024.63,2 097.21,2 002.72,2 096.21,2 005.80,57.06,57.64,51.49,52.78,52.82,50.95,49.13,46.97,50.35,51.15,58.57,56.29,57.30,56.27,57.65,57.67,60.13,57.99
Kepulauan Bangka Belitung,2 106.63,2 035.46,1 800.29,1 971.63,1 831.20,1 828.31,1 779.35,1 812.78,2 074.55,2 060.02,2 164.98,2 137.94,2 150.84,2 120.50,2 111.52,2 065.86,2 058.61,1 992.17,61.98,59.31,51.57,58.37,54.90,55.24,54.17,55.22,60.39,59.13,65.27,64.25,67.20,65.69,64.63,67.57,66.38,65.69
Kepulauan Riau,1 983.98,2 131.56,2 079.02,2 004.71,1 895.49,1 832.21,1 915.48,1 860.85,2 091.16,2 157.61,2 180.00,2 115.22,2 131.06,2 140.41,2 149.34,2 019.87,2 047.79,2 050.02,56.11,62.23,60.69,57.61,57.06,55.95,60.87,59.28,62.59,64.55,66.35,63.59,65.83,69.39,70.31,64.67,66.50,67.05
DKI Jakarta,1 943.24,1 884.95,1 896.40,1 881.91,1 880.46,1 870.81,1 812.89,1 918.19,1 948.93,1 982.28,2 153.62,2 229.75,2 191.06,2 198.72,2 223.32,2 146.87,2 157.83,2 073.28,59.23,58.49,59.54,59.17,61.35,59.53,58.73,62.89,58.39,60.30,68.44,72.49,70.75,70.52,70.51,68.15,70.65,68.15
Jawa Barat,2 029.19,2 085.83,1 962.59,1 930.25,1 978.76,1 815.57,1 853.87,1 864.94,2 044.29,2 126.43,2 230.92,2 215.58,2 196.68,2 173.59,2 213.98,2 115.70,2 110.33,2 069.91,59.39,59.50,56.05,56.19,58.17,52.52,53.48,54.80,57.34,60.43,65.59,64.82,64.84,64.38,64.79,63.62,63.44,62.26
Jawa Tengah,1 924.94,1 982.84,1 860.83,1 835.37,1 893.82,1 805.86,1 821.33,1 846.01,1 936.26,1 964.01,2 080.76,2 106.67,2 045.63,2 054.43,2 072.28,2 017.64,2 024.95,1 993.03,55.94,55.80,51.48,51.27,53.42,51.22,51.74,52.70,53.76,54.42,59.96,60.61,59.80,60.19,59.28,59.78,59.65,59.23
DI Yogyakarta,1 915.43,1 765.82,1 802.61,1 852.05,1 832.26,1 838.27,1 946.37,1 968.87,1 939.53,2 063.40,2 254.22,2 223.71,2 200.67,2 146.57,2 143.98,2 024.44,2 052.77,2 015.51,55.30,49.56,51.35,52.89,53.81,53.13,60.06,60.63,57.48,61.71,69.78,70.18,70.43,68.95,65.25,62.65,63.78,62.32
Jawa Timur,1 930.53,1 956.19,1 856.72,1 844.14,1 886.85,1 805.56,1 795.19,1 869.74,1 927.96,2 038.48,2 140.55,2 132.82,2 088.09,2 080.67,2 111.80,2 041.69,2 068.37,2 046.20,55.87,55.30,52.70,52.53,54.17,51.81,52.00,54.27,55.21,56.70,61.93,61.78,60.79,60.27,60.68,59.96,60.66,60.48
Banten,2 079.79,2 055.61,1 979.58,1 964.26,1 987.55,1 897.67,1 956.01,1 895.36,2 067.41,2 135.13,2 249.33,2 261.77,2 248.65,2 250.36,2 259.08,2 270.48,2 207.37,2 184.28,62.39,60.03,57.32,58.34,59.20,56.24,57.74,56.31,58.64,61.58,66.53,66.88,67.07,67.39,66.69,69.31,66.93,66.03
Bali,2 285.29,2 385.21,2 192.83,2 120.28,2 131.76,2 018.83,2 056.78,2 079.54,2 183.09,2 215.85,2 239.32,2 282.83,2 257.48,2 293.11,2 196.81,2 145.71,2 263.58,2 295.02,65.50,68.81,64.10,62.08,61.65,60.12,60.40,61.72,61.60,62.28,64.11,65.62,65.99,66.61,62.84,61.37,65.86,67.22
Nusa Tenggara Barat,1 974.60,2 003.69,1 956.21,2 050.38,2 061.86,2 029.18,1 972.28,1 950.10,2 006.52,2 075.62,2 187.31,2 316.43,2 451.65,2 441.93,2 542.98,2 460.44,2 484.92,2 419.21,55.81,56.49,54.87,57.93,60.06,58.57,58.05,55.37,54.15,56.43,62.85,68.04,74.29,73.66,76.79,74.82,76.12,74.45
Nusa Tenggara Timur,1 907.24,2 037.34,1 971.70,1 960.28,1 952.14,1 813.49,1 741.23,1 701.94,1 775.22,1 889.63,2 031.60,1 956.37,1 916.72,1 948.11,2 020.33,1 974.12,1 938.18,1 930.43,51.91,56.14,54.12,54.00,52.30,50.01,46.94,46.16,46.27,49.40,55.92,53.40,53.78,54.88,57.44,56.36,54.54,55.06
Kalimantan Barat,2 057.36,2 010.41,1 926.22,1 917.06,1 960.78,1 841.38,1 848.04,1 822.28,1 935.91,1 955.17,1 960.58,1 924.96,1 912.03,1 907.88,1 941.40,1 892.26,1 919.50,1 903.38,57.51,55.84,53.01,53.58,55.85,51.73,52.74,52.16,51.95,52.79,56.16,55.66,55.82,55.45,57.00,58.19,58.63,58.52
Kalimantan Tengah,2 123.98,2 203.65,2 071.30,2 058.25,2 060.51,1 918.08,1 858.10,1 900.10,2 073.94,2 111.25,2 162.87,2 181.57,2 148.80,2 141.22,2 194.45,2 116.05,2 133.87,2 050.60,60.19,63.34,60.87,60.72,60.73,55.77,54.22,55.24,56.23,58.11,63.14,63.62,63.33,62.69,63.95,65.01,64.01,61.84
Kalimantan Selatan,2 151.41,2 084.36,2 039.19,2 080.53,2 104.54,1 980.01,1 954.21,1 966.66,2 119.95,2 144.62,2 286.87,2 268.53,2 270.35,2 271.73,2 295.98,2 188.80,2 167.47,2 198.30,61.04,58.86,58.46,60.12,62.22,57.76,58.34,57.75,59.31,60.43,67.19,67.83,68.13,68.57,69.34,68.01,67.36,69.20
Kalimantan Timur,1 951.91,1 816.03,1 736.69,1 829.15,1 813.49,1 761.92,1 698.29,1 632.88,1 868.19,1 909.87,1 997.46,1 998.36,2 022.32,2 019.56,1 981.64,1 918.34,2 008.81,1 950.46,58.45,54.04,52.58,57.92,56.27,54.24,53.49,50.89,55.02,55.67,61.11,62.11,63.52,64.09,61.29,63.00,65.72,64.30
Kalimantan Utara 1),-,-,-,-,-,-,-,-,1 720.20,1 831.17,1 977.32,1 973.97,2 006.92,1 944.47,2 023.44,1 857.92,1 891.28,1 869.58,-,-,-,-,-,-,-,-,50.14,54.08,62.61,62.68,64.59,63.86,64.88,59.74,62.11,61.69
Sulawesi Utara,2 099.11,2 062.56,1 910.19,2 015.22,1 978.53,1 917.49,1 873.16,1 918.04,2 041.87,2 074.83,2 291.67,2 208.57,2 148.40,2 152.32,2 109.13,2 154.56,2 104.76,2 011.68,56.98,56.90,52.10,56.01,56.43,55.11,54.82,55.59,57.90,58.66,67.42,65.09,64.19,64.74,63.39,68.06,65.22,63.62
Sulawesi Tengah,2 044.31,2 136.33,1 950.63,1 896.25,2 014.43,1 864.43,1 892.44,1 825.40,1 985.74,1 990.21,2 165.32,2 087.03,2 017.54,2 039.84,2 008.55,2 001.12,2 055.42,2 032.80,53.48,55.94,51.72,51.12,54.33,50.20,51.64,50.61,53.36,53.36,59.63,57.90,57.09,57.28,56.30,58.12,59.04,60.58
Sulawesi Selatan,2 094.74,2 129.15,2 006.11,2 056.17,2 078.70,1 957.13,1 921.69,1 896.03,1 995.00,2 040.92,2 209.75,2 183.61,2 139.38,2 093.31,2 144.64,2 077.92,2 110.28,2 063.99,60.09,61.97,57.49,60.03,60.81,57.83,55.20,54.57,55.20,56.96,63.73,63.03,63.21,61.47,63.24,64.18,64.14,63.63
Sulawesi Tenggara,2 135.76,2 138.50,1 931.97,1 926.63,1 927.15,1 891.36,1 820.75,1 829.50,1 992.91,2 034.18,2 131.69,2 125.18,2 083.17,2 027.62,2 046.29,1 948.63,2 019.29,1 955.09,56.86,57.10,54.12,56.31,56.82,55.94,52.91,54.22,55.74,56.97,61.95,62.00,61.16,60.95,60.92,60.39,61.37,60.98
Gorontalo,1 901.24,2 003.43,1 826.90,1 895.67,1 882.41,1 845.55,1 730.83,1 856.27,2 068.46,2 033.02,2 143.18,2 053.45,2 089.68,2 045.01,2 009.24,1 958.11,1 996.25,1 938.17,52.71,55.19,48.95,53.96,52.85,50.45,47.97,51.29,57.19,55.34,60.16,58.98,60.83,58.82,57.32,57.10,58.46,58.12
Sulawesi Barat,2 006.06,2 000.04,1 868.58,2 136.21,1 975.05,1 905.39,1 936.78,1 900.87,1 980.70,2 061.73,2 057.51,2 042.54,2 119.26,2 074.92,2 098.41,2 082.99,2 099.73,2 068.70,54.58,52.48,52.80,59.59,56.11,53.32,54.60,53.24,53.07,55.91,55.41,55.08,58.79,57.71,58.49,61.40,59.94,60.03
Maluku,1 848.39,1 939.04,1 956.68,1 841.53,1 926.86,1 796.05,1 751.87,1 714.28,1 760.56,1 837.22,1 886.52,1 780.90,1 782.61,1 772.15,1 874.88,1 836.68,1 819.57,1 791.94,49.42,53.00,49.90,46.76,54.06,49.92,46.52,46.48,47.60,50.07,53.90,50.21,50.69,51.37,53.45,52.91,52.86,52.20
Maluku Utara,1 949.89,1 974.11,1 737.47,1 854.02,1 780.10,1 678.41,1 632.35,1 663.56,1 688.34,1 720.41,1 783.27,1 820.23,1 765.13,1 773.40,1 862.15,1 843.68,1 822.80,1 800.54,47.69,50.76,42.87,46.91,45.81,43.68,43.17,44.98,45.13,46.57,49.77,49.17,48.43,48.37,51.59,54.76,52.70,52.05
Papua Barat,1 898.15,1 873.31,1 822.13,1 892.73,1 847.90,1 696.60,1 645.07,1 637.37,1 832.98,1 828.53,1 875.44,1 944.26,1 922.27,1 902.71,1 911.04,1 879.75,1 859.62,1 769.80,47.95,48.49,49.35,51.08,51.03,48.13,46.66,48.01,49.69,50.00,53.20,56.48,56.60,55.16,54.82,55.32,54.62,51.78
Papua Barat Daya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 890.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, 57.83
Papua,1 981.58,1 906.18,1 950.40,1 992.89,1 806.23,1 722.31,1 617.42,1 667.36,1 807.66,1 764.80,1 924.39,1 842.23,1 863.07,1 914.12,1 879.71,1 902.04,1 902.72,1 782.90,47.89,46.90,49.75,48.06,43.45,40.54,39.60,39.45,39.48,38.40,46.03,44.04,44.66,46.52,44.94,45.07,46.80,54.73
Papua Selatan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 790.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, 51.57
Papua Tengah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 696.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, 43.48
Papua Pegunungan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2 190.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, 39.89
Indonesia,2 014.91,2 038.17,1 927.63,1 925.61,1 952.01,1 852.64,1 842.75,1 859.30,1 992.69,2 037.40,2 152.64,2 147.09,2 120.52,2 112.06,2 143.21,2 079.09,2 087.64,2 051.54,57.66,57.49,54.35,55.01,56.25,53.14,53.08,53.91,55.11,56.67,62.20,62.19,62.13,61.98,62.28,62.21,62.33,61.70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diolah dari Hasil Survei Sosial Ekonomi Nasional (Susenas) Triwulan I-2013 dan Triwulan I-2014, BPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) Data masih bergabung dengan Provinsi Kalimantan Timur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumber : Publikasi Statistik Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,